GSE,Title,Suitability_tier,Suitability_score,Meth_array,Other_platforms,N_samples,Has_sex,Has_age,Has_tissue,Has_ancestry,Has_cell_composition,N_phenotype_fields,Phenotype_fields,N_char_fields,All_char_tags,Sex_field,Age_field,Tissue_field,Tissue_examples,Phenotype_examples,First_sample_source_name,Suitability_notes,PubMed,Submission_date,Last_update,Platform_GPLs,N_matrix_files
GSE224124,Whole-Genome Methylation Profiling Reveals Regions Associated with Painful Temporomandibular Disorders and Active Recovery Processes,Moderate,5,EPIC (850K),,1107,True,False,False,False,True,4,smoke_status | recruite_site | sampleID | group,8,gender | smoke_status | recruite_site | pc1 | pc2 | pc3 | sampleID | group,gender,,,,smoke_status: never; current; former || recruite_site: 3; 2; 4; 1 || sampleID: 4357; 7661; 5866; 34452 || group: sHC; TMD; R_V1; R_V2,OPPERAI,clean single-array study with phenotype + covariates,38015635,Jan 31 2023,Apr 25 2024,GPL21145,1
GSE224339,DNA methylation dynamics during pregnancy,Limited,3,EPIC (850K),,239,False,False,True,False,False,0,,1,tissue,,,tissue,maternal blood 1; maternal blood 3; cord blood,,maternal blood 1,no phenotype/exposure variable (demographic/reference only); no sex field,37287456,Feb 02 2023,Sep 04 2023,GPL21145,1
GSE224363,Epigenetic analysis of psychosocial stress among mother-newborn dyads in the Democratic Republic of Congo (EAA),Strong,7,EPIC (850K),,356,True,True,True,False,False,13,birthweight | dyad | delivery mode | maternal alcohol | parity | general trauma | sexual trauma | war trauma | chronic stress | cohort | replicate | replicate id | dna methylation age,19,gender | tissue | age | birthweight | dyad | maternal age | delivery mode | maternal alcohol | parity | gestational age | general trauma | sexual trauma | war trauma | chronic stress | cohort | replicate | replicate id | dna methylation age | age acceleration,gender,age;maternal age;gestational age;age acceleration,tissue,baby_venous_blood; mother_venous_blood,birthweight: 3200; 3600; 3700; 4500 || dyad: C1; C25; C49; C89 || delivery mode: vaginal; caesarean section || maternal alcohol: No; Yes; NA,venous blood 1,clean single-array study with phenotype + covariates,37300821,Feb 02 2023,Sep 16 2025,GPL21145,1
GSE224364,Epigenetic analysis of psychosocial stress among mother-newborn dyads in the Democratic Republic of Congo (EWA reanalysis),Strong,7,EPIC (850K),,356,True,True,True,False,False,13,birthweight | dyad | delivery mode | maternal alcohol | parity | general trauma | sexual trauma | war trauma | chronic stress | cohort | replicate | replicate id | dna methylation age,19,gender | tissue | age | birthweight | dyad | maternal age | delivery mode | maternal alcohol | parity | gestational age | general trauma | sexual trauma | war trauma | chronic stress | cohort | replicate | replicate id | dna methylation age | age acceleration,gender,age;maternal age;gestational age;age acceleration,tissue,baby_venous_blood; mother_venous_blood,birthweight: 3200; 3600; 3700; 4500 || dyad: C1; C25; C49; C89 || delivery mode: vaginal; caesarean section || maternal alcohol: No; Yes; NA,venous blood 1,clean single-array study with phenotype + covariates,37300821,Feb 02 2023,Sep 16 2025,GPL21145,1
GSE224365,Epigenetic analysis of psychosocial stress among mother-newborn dyads in the Democratic Republic of Congo,Strong,7,EPIC (850K),,712,True,True,True,False,False,13,birthweight | dyad | delivery mode | maternal alcohol | parity | general trauma | sexual trauma | war trauma | chronic stress | cohort | replicate | replicate id | dna methylation age,19,gender | tissue | age | birthweight | dyad | maternal age | delivery mode | maternal alcohol | parity | gestational age | general trauma | sexual trauma | war trauma | chronic stress | cohort | replicate | replicate id | dna methylation age | age acceleration,gender,age;maternal age;gestational age;age acceleration,tissue,baby_venous_blood; mother_venous_blood,birthweight: 3200; 3600; 3700; 4500 || dyad: C1; C25; C49; C89 || delivery mode: vaginal; caesarean section || maternal alcohol: No; Yes; NA,venous blood 1,clean single-array study with phenotype + covariates,37300821,Feb 02 2023,Sep 16 2025,GPL21145,1
GSE224624,A multi-omics approach unveils an association between subclinical atherosclerosis and epigenetic age acceleration mediated by systemic inflammation,Strong,6,EPIC (850K),GPL16791,782,True,True,True,False,False,1,pesa score,4,tissue | gender | age | pesa score,gender,age,tissue,WBS,pesa score: Generalized; Intermediate; No; Focal,WBS,multi-omic super-series (methylation + sequencing),37339167,Feb 06 2023,Jun 23 2023,"GPL16791,GPL21145",2
GSE226085,Epigenetic signatures of intergenerational exposure to violence during pregnancy,Strong,6,EPIC (850K),,160,True,True,False,False,True,15,individual | generation | nuclear family | extended family | included in final analytical sample | replicate | replicate id | serial number | violence trauma | conflict exposed to | generation of conflict exposure | material deprivation | socioeconomic status | arabic family food security scale | birth order,21,gender | epithelial cell proportion | individual | age | generation | nuclear family | extended family | passed methylation quality control | included in final analytical sample | replicate | replicate id | serial number | plate | slide | violence trauma | conflict exposed to | generation of conflict exposure | material deprivation | socioeconomic status | arabic family food security scale | birth order,gender,age,,,individual: 2-9-F3-2-F; 2-9-F3-1-M; 2-9-F2-M; 3-1-F2-F || generation: F3_Index_Child; F3_Sibling; NA; F2_Mother || nuclear family: 28; 29; 40; 47 || extended family: 28; 29; 40; 47,buccal swab 36,clean single-array study with phenotype + covariates,40016245,Feb 24 2023,Sep 16 2025,GPL21145,1
GSE227809,Temporal Genomics Mechanisms Underlying Disease and Aging [DNA Methylation],Strong,7,EPIC (850K),,182,True,True,True,False,False,3,ela status | session | time,6,cell type | Sex | age | ela status | session | time,Sex,age,cell type,PBMC,ela status: ELA; Control || session: No-stress; Stress || time: T1; T3; T4; T2,"Participant 1, No-stress session, Time 1",clean single-array study with phenotype + covariates,37393564,Mar 21 2023,Jul 17 2023,GPL21145,1
GSE227815,Temporal Genomics Mechanisms Underlying Disease and Aging,Strong,6,EPIC (850K),GPL24676,403,True,True,True,False,False,3,ela status | session | time,6,cell type | Sex | age | ela status | session | time,Sex,age,cell type,PBMC,ela status: ELA; Control || session: No-stress; Stress || time: T1; T3; T4; T2,"Participant 1, No-stress session, Time 1",multi-omic super-series (methylation + sequencing),37393564,Mar 21 2023,Jul 17 2023,"GPL21145,GPL24676",2
GSE230446,"Methylation Array Data From PBMC Cell Lineages Derived From Control, At-Risk and Early RA Patients",Limited,3,EPIC (850K),,382,True,False,False,False,False,0,,2,assay | gender,gender,,,,,"Patient 41, Sample 39 B cells",no phenotype/exposure variable (demographic/reference only),37993439,Apr 24 2023,Dec 08 2023,GPL21145,1
GSE230652,Epigenome-wide association study of diabetic chronic kidney disease progression,Moderate,5,EPIC (850K),,180,False,False,True,False,False,1,ckd,2,ckd | tissue,,,tissue,whole blood,ckd: progression; non-progression,whole blood,no sex field,37210443,Apr 26 2023,May 22 2023,GPL21145,1
