"GSE","N_series","Title","Phenotypes","N_phenotypes","Suitability_tier","Suitability_score","Meth_array","N_samples","Has_sex","Has_age","Has_ancestry","Has_cell_composition","PubMed","Suitability_notes","Other_platforms","Has_tissue","N_phenotype_fields","Phenotype_fields","N_char_fields","All_char_tags","Sex_field","Age_field","Tissue_field","Tissue_examples","First_sample_source_name","Submission_date","Last_update","Platform_GPLs","N_matrix_files"
"GSE132203",1,"DNA Methylation (EPIC) from the Grady Trauma Project","PTSD, tei_total_types_experienced_somewitness, Childhood abuse",3,"Strong",6,"EPIC (850K)","795","True","True","True","True",31737926,"clean single-array study with phenotype + covariates","","False",4,"mergedcapsandpsswinthin30days | tei_total_types_experienced_somewitness | childabphyssexemot_ctq_01modandsev | neu",16,"gender | age | race | mergedcapsandpsswinthin30days | tei_total_types_experienced_somewitness | childabphyssexemot_ctq_01modandsev | pc1 | pc2 | pc3 | cd8t | cd4t | nk | bcell | mono | neu | age acceleration","gender","age;age acceleration","","","Whole Blood","Jun 05 2019","May 14 2026","GPL21145",1
"GSE224624, GSE220622",2,"A multi-omics approach unveils an association between subclinical atherosclerosis and epigenetic age acceleration mediated by systemic inflammation","pesa score",1,"Strong",6,"EPIC (850K)","782, 391","True","True","False","False",37339167,"multi-omic super-series (methylation + sequencing)","GPL16791","True",1,"pesa score",4,"tissue | gender | age | pesa score","gender","age","tissue","WBS","WBS","Feb 06 2023","Jun 23 2023","GPL16791,GPL21145",2
"GSE318173",1,"Epigenome‐wide association study, meta‐analysis, and multiscore profiling of whole blood in Parkinson's disease","disease_status",1,"Strong",6,"EPIC (850K)","559","True","True","False","False",39907161,"clean single-array study with phenotype + covariates","","False",2,"is_technical_replicate | disease_status",7,"amp_plate | slide | slide_position | is_technical_replicate | Sex | age | disease_status","Sex","age","","","whole_blood","Jan 30 2026","May 06 2026","GPL21145",1
"GSE249113",1,"Dexamethasone-stimulated DNA methylation in peripheral blood","diagnosis, bmi, snp based principle component 1, snp based principle component 2",4,"Strong",6,"EPIC (850K)","398","True","True","False","True",39393618,"clean single-array study with phenotype + covariates","","False",4,"diagnosis | bmi | snp based principle component 1 | snp based principle component 2",12,"diagnosis | Sex | age | bmi | cellcount-mono | cellcount-gran | cellcount-cd8t | cellcount-cd4t | cellcount-nk | cellcount-bcell | snp based principle component 1 | snp based principle component 2","Sex","age","","","whole blood","Nov 30 2023","May 08 2025","GPL21145",1
"GSE142512",1,"Longitudinal DNA methylation differences precede type 1 diabetes","disease time point, t1d status",2,"Strong",6,"450K+EPIC (850K)","395","True","True","False","False",32111940,"mixed array generations (450K/EPIC/EPICv2)","","True",3,"subject id | disease time point | t1d status",6,"subject id | disease time point | age | Sex | t1d status | tissue","Sex","age","tissue","peripheral blood sample","T1D case_Male_time point 4","Dec 22 2019","May 31 2024","GPL13534,GPL21145",2
"GSE286347",1,"High-resolution whole-genome DNA methylation revealed unique signatures of painful diabetic neuropathy","phenotype",1,"Strong",6,"EPIC (850K)","315","True","False","False","False",39847262,"clean single-array study with phenotype + covariates","","True",1,"phenotype",3,"tissue | Sex | phenotype","Sex","","tissue","Blood WB","Blood WB","Jan 10 2025","Feb 21 2026","GPL21145",1
"GSE273970",1,"Genome-wide DNA methylation profile of blood samples from patients with major depressive disorder.","disease state",1,"Strong",6,"EPIC (850K)","283","True","True","False","False",40174930,"clean single-array study with phenotype + covariates","","False",1,"disease state",4,"disease state | Sex | age bracket | blood sample id","Sex","age bracket","","","blood sample of patient with major depressive disorder","Aug 05 2024","Apr 17 2025","GPL21145",1
"GSE287994",1,"DNA METHYLATION SIGNATURES OF CERVICAL PRE-INVASIVE AND INVASIVE DISEASE: AN EPIGENOME-WIDE ASSOCIATION STUDY","case.status, hpv.status",2,"Strong",6,"EPIC (850K)","241","True","False","False","False",40065506,"clean single-array study with phenotype + covariates","","True",2,"case.status | hpv.status",4,"Sex | case.status | hpv.status | cell type","Sex","","cell type","Benign cervical sample; CIN3 or Cancer sample","Benign cervical sample","Jan 24 2025","May 22 2025","GPL21145",1
"GSE201754",1,"Methylome and transcriptome profiling of giant cell arteritis monocytes reveals novel pathways involved in disease pathogenesis and molecular response to glucocorticoids","classification",1,"Strong",6,"EPIC (850K)","224","True","True","False","False",35705375,"multi-omic super-series (methylation + sequencing)","GPL16791","True",2,"classification | (untagged)",8,"tissue | cell line | cell type | classification | Sex | age | sorter day | (untagged)","Sex","age","tissue;cell line;cell type","Whole blood; CD14+ Monocytes; Monocytes","Whole blood","Apr 27 2022","Sep 27 2022","GPL16791,GPL21145",2
"GSE172365, GSE172368",2,"Multi-omics co-localization with genome-wide association studies reveals a context-specific genetic mechanism at a childhood onset asthma risk locus [Methylation array]","treatment, crs, asthma, steroid, smoking, initial_culture_days, cryo_days, ppg_culture_start, cell_culture_harvest_after_rv_treatment",9,"Strong",6,"EPIC (850K)","206, 396","True","True","True","False",34629083,"clean single-array study with phenotype + covariates","","False",14,"sample_id | treatment | crs | asthma | steroid | smoking | dna_concentration | surgical_date | initial_culture_days | cryo_days | cryo_date | ppg_culture_start | cell_culture_harvest_after_rv_treatment | array",18,"sample_id | treatment | crs | asthma | steroid | smoking | gender | ethnicity | age | dna_concentration | surgical_date | initial_culture_days | cryo_days | cryo_date | ppg_culture_start | cell_culture_harvest_after_rv_treatment | array | sentrix_id","gender","age","","","Cultred airway epithelial cells","Apr 19 2021","Nov 03 2021","GPL21145",1
"GSE301735, GSE301739",2,"Circulating Epigenetic Signatures Classifying Brain Insulin Resistance in humans [1]","disease_state",1,"Strong",6,"EPIC (850K)","200, 224","True","False","False","False",40768600,"clean single-array study with phenotype + covariates","","True",1,"disease_state",3,"Sex | disease_state | tissue","Sex","","tissue","Blood cells","Blood cells","Jul 07 2025","Apr 13 2026","GPL21145",1
"GSE184269",1,"Specification of human immune cell epigenetic identity by combinations of transcription factors (MethylationEPIC)","",0,"Strong",6,"EPIC (850K)","167","True","True","False","False",34706222,"clean single-array study with phenotype + covariates","","False",1,"donor id",3,"donor id | age | Sex","Sex","age","","","Whole Blood","Sep 16 2021","Sep 27 2023","GPL21145",1
"GSE226085",1,"Epigenetic signatures of intergenerational exposure to violence during pregnancy","violence trauma, conflict exposed to, generation of conflict exposure, material deprivation, socioeconomic status, arabic family food security scale, birth order",7,"Strong",6,"EPIC (850K)","160","True","True","False","True",40016245,"clean single-array study with phenotype + covariates","","False",15,"individual | generation | nuclear family | extended family | included in final analytical sample | replicate | replicate id | serial number | violence trauma | conflict exposed to | generation of conflict exposure | material deprivation | socioeconomic status | arabic family food security scale | birth order",21,"gender | epithelial cell proportion | individual | age | generation | nuclear family | extended family | passed methylation quality control | included in final analytical sample | replicate | replicate id | serial number | plate | slide | violence trauma | conflict exposed to | generation of conflict exposure | material deprivation | socioeconomic status | arabic family food security scale | birth order","gender","age","","","buccal swab 36","Feb 24 2023","Sep 16 2025","GPL21145",1
"GSE283506",1,"Sex Differences in Epigenetic Ageing for Older People Living with HIV","disease state, chronological age",2,"Strong",6,"EPIC (850K)","158","True","False","False","False",39923742,"clean single-array study with phenotype + covariates","","True",2,"disease state | chronological age",4,"Sex | cell type | disease state | chronological age","Sex","","cell type","Blood","Blood","Dec 04 2024","Mar 06 2025","GPL21145",1
"GSE224124",1,"Whole-Genome Methylation Profiling Reveals Regions Associated with Painful Temporomandibular Disorders and Active Recovery Processes","smoke_status, group",2,"Moderate",5,"EPIC (850K)","1107","True","False","False","True",38015635,"clean single-array study with phenotype + covariates","","False",4,"smoke_status | recruite_site | sampleID | group",8,"gender | smoke_status | recruite_site | pc1 | pc2 | pc3 | sampleID | group","gender","","","","OPPERAI","Jan 31 2023","Apr 25 2024","GPL21145",1
"GSE280206",1,"Raw data for: Epigenetic Age and Long-Term Cancer Risk Following a Stroke","incident_cancer",1,"Moderate",5,"450K+EPIC (850K)","648","True","False","False","False",39578904,"mixed array generations (450K/EPIC/EPICv2)","","True",1,"incident_cancer",3,"tissue | Sex | incident_cancer","Sex","","tissue","Blood DNA","Blood DNA","Oct 24 2024","Feb 18 2025","GPL13534,GPL21145",2
"GSE128821",1,"Epigenome-wide analyis of neurobehavioral variation in preterm infants","subject status, nnns profile, pp_prp, buccal_pma, class, site, bsi_0_2_3, baycogcb, bga, bayccogcb, outborn, rid, rfid, riskmdb34, rsite_birth, cld1, rsite_ereg, sbi, epi, inf, rop",21,"Moderate",5,"EPIC (850K)","542","True","False","False","False",31004082,"clean single-array study with phenotype + covariates","","False",25,"subject status | pmid_38418845 | nnns profile | pp_prp | buccal_pma | class | site | bsi_0_2_3 | pmid_38358663 | baycogcb | bga | pmid_34507616 | bayccogcb | outborn | rid | rfid | riskmdb34 | rsite_birth | cld1 | rsite_ereg | sbi | epi | inf | (untagged) | rop",27,"subject status | gender | pmid_38418845 | nnns profile | pp_prp | buccal_pma | class | site | bsi_0_2_3 | pmid_38358663 | baycogcb | bga | pmid_34507616 | bayccogcb | outborn | rid | plate | rfid | riskmdb34 | rsite_birth | cld1 | rsite_ereg | sbi | epi | inf | (untagged) | rop","gender","","","","genomic DNA from buccal swab","Mar 25 2019","Feb 13 2026","GPL21145",1
"GSE251786",1,"Sex-specific and multiomic integration enhance accuracy of peripheral blood biomarkers of major depressive disorder","group",1,"Moderate",5,"EPIC (850K)","470","True","False","False","False",39914267,"multi-omic super-series (methylation + sequencing)","GPL18573,GPL20301,GPL24676","True",1,"group",3,"tissue | group | Sex","Sex","","tissue","Whole blood","Whole blood","Dec 21 2023","Mar 17 2025","GPL18573,GPL20301,GPL21145,GPL24676",4
"GSE131433",1,"Epigenome-wide Association study of individuals conceived by Assisted Reproduction Technologies at birth and adulthood","art status, art subtype, time of collection",3,"Moderate",5,"EPIC (850K)","440","True","False","False","False",31477727,"clean single-array study with phenotype + covariates","","False",3,"art status | art subtype | time of collection",5,"gender | sample type | art status | art subtype | time of collection","gender","","","","ART_Donor_1","May 17 2019","May 12 2023","GPL21145",1
"GSE256396, GSE256394",2,"Somatic mutations and DNA methylation identify a subgroup of poor prognosis within lower risk myelodysplastic syndromes","disease, progression, mdsdiag, genotype",4,"Moderate",5,"EPIC (850K)","374, 182","True","False","False","False",39850648,"multi-omic super-series (methylation + sequencing)","GPL21697","True",4,"disease | progression | mdsdiag | genotype",8,"disease | progression | mdsdiag | genotype | gender | methyl batch | tissue | cell line","gender","","tissue;cell line","Bone marrow; CD34+","Bone marrow","Feb 22 2024","Jan 30 2025","GPL21145,GPL21697",2
"GSE305174",1,"Epigenome-wide association study of blood DNA methylation and markers of physical performance indicates subtle differences across levels of cardiovascular fitness","",0,"Moderate",5,"EPIC (850K)","366","True","True","False","False",42064556,"no phenotype/exposure variable (demographic/reference only)","","True",0,"",3,"tissue | Sex | age","Sex","age","tissue","Whole blood","Whole blood","Aug 11 2025","May 07 2026","GPL21145",1
"GSE315764",1,"Stratifying High-Risk Prediabetes Clusters Using Blood-Based Epigenetic Markers","disease_state",1,"Moderate",5,"EPIC (850K)+EPIC v2","333","True","False","False","False",41547928,"mixed array generations (450K/EPIC/EPICv2)","","True",1,"disease_state",3,"Sex | disease_state | tissue","Sex","","tissue","Blood cells","Blood cells","Jan 06 2026","Jan 29 2026","GPL21145,GPL33022",2
"GSE269416",1,"Diagnostic Utility of DNA Methylation Analysis in Genetically Unsolved Pediatric Epilepsies and CHD2 Episignature Refinement","genotype",1,"Moderate",5,"EPIC (850K)","290","False","False","False","False",39107278,"no sex field","","True",1,"genotype",3,"tissue | genotype | library name","","","tissue","peripheral blood; saliva; fibroblast","peripheral blood","Jun 08 2024","Aug 07 2024","GPL21145",1
"GSE159930",1,"Rare genetic variation at transcription factor binding site modulates local DNA methylation profiles","diagnosis",1,"Moderate",5,"EPIC (850K)","267","False","False","False","False",33216750,"no sex field","","True",1,"diagnosis",2,"tissue | diagnosis","","","tissue","Blood; Heart","Blood","Oct 23 2020","Nov 24 2020","GPL21145",1
"GSE234461",1,"Epigenetics of Yakutia and Central Russia regions","",0,"Moderate",5,"EPIC (850K)","245","True","True","False","False",38053163,"no phenotype/exposure variable (demographic/reference only)","","True",0,"",4,"sample type | age | Sex | region","Sex","age","region","Central; Yakutia","Whole Blood","Jun 08 2023","Jan 27 2026","GPL21145",1
"GSE240155",1,"Characterization of DNA methylation changes induced by albuterol in airway epithelial cultures","phase, treatment",2,"Moderate",5,"EPIC (850K)","200","False","False","False","False",37784136,"no sex field","","True",3,"pair | phase | treatment",5,"pair | phase | cell type | treatment | quality control","","","cell type","NEC","Nasal Epithelial Cells after chronic stimulation with mock solution","Aug 04 2023","Oct 19 2023","GPL21145",1
"GSE210995",1,"HKU Gastric Intestinal Metaplasia study: Single-cell RNA sequencing, transcriptome and methylation profiling","culture condition, subtype reclassification, copy number profile, sample subtype reclassification, long-term culture",5,"Moderate",5,"EPIC (850K)","199","True","False","False","False",39572083,"multi-omic super-series (methylation + sequencing)","GPL24676","True",6,"culture condition | subtype reclassification | (untagged) | copy number profile | sample subtype reclassification | long-term culture",8,"tissue/cell type | gender | culture condition | subtype reclassification | (untagged) | copy number profile | sample subtype reclassification | long-term culture","gender","","tissue/cell type","Human IM organoid; Human normal gastric organoid; Human normal colon organoid","Human IM organoid","Aug 10 2022","Jan 14 2025","GPL21145,GPL24676",2
"GSE230652",1,"Epigenome-wide association study of diabetic chronic kidney disease progression","ckd",1,"Moderate",5,"EPIC (850K)","180","False","False","False","False",37210443,"no sex field","","True",1,"ckd",2,"ckd | tissue","","","tissue","whole blood","whole blood","Apr 26 2023","May 22 2023","GPL21145",1
"GSE216906",1,"Longitudinal DNA methylation profile of peripheral blood in women delivering preterm informs predictive biomarkers","disease state, timepoint",2,"Moderate",5,"EPIC (850K)","162","True","False","False","False",37345372,"clean single-array study with phenotype + covariates","","False",2,"disease state | timepoint",4,"Sex | sample type | disease state | timepoint","Sex","","","","genomic DNA from maternal peripheral blood","Oct 31 2022","Feb 18 2026","GPL21145",1
"GSE191082, GSE191083",2,"Specific methylation marks in promoter regions are associated to the pathogenic process of Chronic Chagas disease Cardiomyopathy by modifying transcription factor binding patterns [methylation]","group",1,"Moderate",5,"EPIC (850K)","158, 180","False","False","False","False",36072583,"no sex field","","True",1,"group",2,"group | tissue","","","tissue","Left ventricular wall; Blood","Heart","Dec 16 2021","Oct 28 2022","GPL21145",1
"GSE197305",1,"Cortex DNA methylation profiles for the Brains for Dementia research cohort","",0,"Moderate",4,"EPIC (850K)","1221","True","False","False","True",35995800,"no phenotype/exposure variable (demographic/reference only)","","True",0,"",7,"developmental stage | tissue | brain region | gender | cell proportion double negative | cell proportion neun+ | cell proportion sox10+","gender","","developmental stage;tissue;brain region","adult; brain; Prefrontal; Occipital","203205080152_R02C01","Feb 23 2022","Sep 30 2024","GPL21145",1
"GSE254135",1,"Longitudinal prediction of DNA methylation to forecast epigenetic outcomes","",0,"Moderate",4,"EPIC (850K)","1051","False","True","False","False",40267756,"no phenotype/exposure variable (demographic/reference only); no sex field","","True",0,"",2,"tissue | age(month)","","age(month)","tissue","buccal swab","buccal swab 1","Jan 24 2024","May 15 2025","GPL21145",1
"GSE210435",1,"TET2 Mutant Clonal Hematopoiesis Enhances Severity of COVID-19 Related Cytokine Release Syndrome and is Associated with Increased Mortality.","disease state_1, disease state_2, disease state 1, disease state 2",4,"Moderate",4,"EPIC (850K)","363","False","False","False","False",39189614,"multi-omic super-series (methylation + sequencing); no sex field","GPL20301,GPL24676","True",5,"disease state_1 | disease state_2 | (untagged) | disease state 1 | disease state 2",7,"tissue | disease state_1 | disease state_2 | (untagged) | disease state 1 | disease state 2 | cell type","","","tissue;cell type","Peripheral blood mononuclear cells; Peripheral blood mononuclear cells","Peripheral blood mononuclear cells","Aug 03 2022","Feb 24 2025","GPL20301,GPL21145,GPL24676",3
"GSE149412",1,"Dioxin-like compound exposures and DNA methylation in the Anniston Community Health Survey Phase II","",0,"Moderate",4,"EPIC (850K)","292","True","False","False","False",32629249,"no phenotype/exposure variable (demographic/reference only)","","True",0,"",2,"Sex | tissue","Sex","","tissue","whole blood","ACH0002","Apr 27 2020","Aug 02 2023","GPL21145",1
"GSE178809",1,"Airway Aging and Methylation Disruptions in HIV-associated Chronic Obstructive Pulmonary Disease","copd, copd_status",2,"Moderate",4,"EPIC (850K)","152","False","False","False","False",35426765,"multi-omic super-series (methylation + sequencing); no sex field","GPL24676","True",2,"copd | copd_status",3,"copd | tissue | copd_status","","","tissue","Bronchial epithelium","Bronchial epithelium","Jun 24 2021","Jun 17 2022","GPL21145,GPL24676",2
"GSE195595",1,"Epigenome wide DNA methylation profile of neonatal blood spots from the Archives for Research on Child Health (ARCH) cohort","",0,"Moderate",4,"EPIC (850K)","152","True","False","False","False",38507935,"no phenotype/exposure variable (demographic/reference only)","","True",0,"",3,"infant sex | tissue | arch id","infant sex","","tissue","neonatal blood spot","neontatal bloodspot 1","Jan 27 2022","Nov 06 2024","GPL21145",1
"GSE309790",1,"Aberrant DNA Methylation Underlying Prenatal Exposures and Increased Newborn and Childhood Adiposity","",0,"Limited",3,"EPIC (850K)","3129","True","False","False","False",39165088,"very large (n=3129) — heavy for a tutorial; no phenotype/exposure variable (demographic/reference only)","","True",0,"",4,"Sex | tissue | developmental stage | cell type","Sex","","tissue;developmental stage;cell type","cord clood; newborn; whole blood cells","newborn cordblood","Nov 13 2025","May 21 2026","GPL21145",1
"GSE230446",1,"Methylation Array Data From PBMC Cell Lineages Derived From Control, At-Risk and Early RA Patients","",0,"Limited",3,"EPIC (850K)","382","True","False","False","False",37993439,"no phenotype/exposure variable (demographic/reference only)","","False",0,"",2,"assay | gender","gender","","","","Patient 41, Sample 39 B cells","Apr 24 2023","Dec 08 2023","GPL21145",1
"GSE305883",1,"DNA Methylation profiles of self-reported Hispanic subjects in the Northern Manhattan Study","",0,"Limited",3,"EPIC (850K)","322","False","False","False","False",41462362,"no phenotype/exposure variable (demographic/reference only); no sex field","","True",0,"",4,"tissue | batch | sample_plate | sentrix_id","","","tissue","Blood","Blood","Aug 19 2025","Feb 24 2026","GPL21145",1
"GSE263787",1,"Epigenetic heterogeneity hotspots in human liver disease progression [MethylationEPIC Beadchip]","",0,"Limited",3,"EPIC (850K)","298","False","False","False","False",39028883,"no phenotype/exposure variable (demographic/reference only); no sex field","","True",0,"",2,"tissue type | tissue","","","tissue type;tissue","Normal; Disease; liver","Normal liver tissue","Apr 11 2024","Apr 15 2026","GPL21145",1
"GSE191331",1,"Longitudinal multi-omics analysis identifies early blood-based predictors of anti-TNF therapy response in inflammatory bowel disease","cohort, treatment, remission at week 14, time point, diagnosis, timepoint",6,"Limited",3,"EPIC (850K)","286","False","False","False","False",36153599,"multi-omic super-series (methylation + sequencing); no sex field","GPL20301","False",7,"patient | cohort | treatment | remission at week 14 | time point | diagnosis | timepoint",7,"patient | cohort | treatment | remission at week 14 | time point | diagnosis | timepoint","","","","","Peripheral Whole-Blood","Dec 20 2021","Dec 13 2024","GPL20301,GPL21145",2
"GSE224339",1,"DNA methylation dynamics during pregnancy","",0,"Limited",3,"EPIC (850K)","239","False","False","False","False",37287456,"no phenotype/exposure variable (demographic/reference only); no sex field","","True",0,"",1,"tissue","","","tissue","maternal blood 1; maternal blood 3; cord blood","maternal blood 1","Feb 02 2023","Sep 04 2023","GPL21145",1
